"","out_train_knn","out_train_lda","out_train_qda"
"appendicitis",0.883460246360582,0.881546052631579,0.869024122807018
"australian",0.727741935483871,0.860547504025765,0.807246376811594
"balance",0.907212214866472,0.879112202461126,0.916799881586738
"bupa",0.740552099624211,0.702422370753358,0.644762819619235
"contraceptive",0.616894373824317,0.523648481743931,0.531417968638834
"haberman",0.779511612475116,0.751993412384717,0.756711462450593
"hayes-roth",0.647552447552448,0.560416666666667,0.736111111111111
"heart",0.734297520661157,0.85761316872428,0.877777777777778
"iris",0.97910447761194,0.98,0.981481481481481
"led7digit",0.76369710467706,0.763555555555556,0.768055555555556
"mammographic",0.816085561968236,0.827446530389827,0.819684257867528
"monk-2",0.979368433927952,0.7821825500871,0.930300975287086
"newthyroid",0.915840889464594,0.918345708028417,0.970028310453501
"pima",0.779191368096594,0.779226630839403,0.763312476730525
"tae",0.526346047540077,0.558485838779957,0.568807189542484
"titanic",0.789231935320869,0.776011146293832,0.773285097313366
"vehicle",0.721329967494294,0.798922884310946,0.912398901845548
"vowel",0.837865168539326,0.645791245791246,0.970145903479237
"wine",0.774512578616352,1,0.995625
"wisconsin",0.973930372875196,0.961447114143082,0.958843625759928
